id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27948367,Superbe studio lumineux et moderne (place brugman),211069961,Vick,,Ixelles,50.81792,4.35485,Entire home/apt,43,3,29,2019-12-11,0.84,6,346
27973265,Beautiful apartment 2 rooms in quartier Louise,16670683,Christopher,,Ixelles,50.83226,4.36145,Entire home/apt,100,2,104,2020-02-18,3.05,1,145
27977615,Chambre dans une collocation,112704099,Laura,,Saint-Gilles,50.8324,4.35552,Private room,40,4,5,2019-03-11,0.15,1,365
27984495,ForeverYoungPeople's Getaway|FR.EN.ES|2BRflat,210389969,Carolina,,Ixelles,50.81269,4.38659,Private room,29,1,35,2019-03-20,1.00,2,18
28001588,L2,7872136,Stephane,,Ixelles,50.82727,4.36549,Entire home/apt,48,4,2,2019-02-02,0.07,2,2
28016112,MoreForeverYoungPeople's Getaway|doubleR.|FR.EN.ES,210389969,Carolina,,Ixelles,50.81347,4.38636,Private room,50,1,0,,,2,18
28030980,´Urban jungle’ modern flat for 4 in historic house,11696474,Elise,,Forest,50.82079,4.34219,Entire home/apt,71,2,78,2021-06-18,2.29,1,80
28050574,One bedroom flat of 60m² with balcony at Flagey,97245668,Guillaume,,Ixelles,50.82707,4.3706,Entire home/apt,70,3,53,2019-07-07,1.72,1,236
28116885,Breezy and relaxing Brussels apartment,10718729,Frederico,,Molenbeek-Saint-Jean,50.86507,4.33898,Private room,40,3,21,2018-10-02,0.62,1,20
28119514,Chouette chambre double à Flagey,18261606,Véronique,,Ixelles,50.83287,4.37378,Private room,60,2,17,2019-12-08,0.52,2,0
28122200,八 A private room  with share the bathroom!,160901667,Anna,,Bruxelles,50.84503,4.34549,Private room,25,1,53,2021-07-11,1.57,8,348
28131148,The Clock residence,212483623,Sophie,,Uccle,50.81224,4.34828,Entire home/apt,65,2,23,2019-08-22,0.67,1,286
28140507,Charme,81850947,Dalila,,Jette,50.86692,4.33335,Entire home/apt,150,2,3,2019-09-27,0.13,1,58
28144301,L1,7872136,Stephane,,Ixelles,50.82727,4.36549,Entire home/apt,55,4,8,2020-09-01,0.29,2,0
28169236,Lovely apartment in brussels center,90756740,Lea,,Saint-Josse-ten-Noode,50.85241,4.37618,Entire home/apt,39,2,159,2021-05-31,4.59,1,113
28195594,Maison originale avec patio dans un quartier animé,206639016,Emilie,,Ixelles,50.83659,4.36855,Entire home/apt,105,1,75,2020-03-12,2.90,1,0
28203340,Logement lumineux au calme a Woluwe St Pierre,213019623,Rosette,,Woluwe-Saint-Pierre,50.83756,4.4347,Entire home/apt,55,4,66,2019-10-15,1.90,1,134
28212402,Frites in the center of Europe,192431896,Koen,,Bruxelles,50.85137,4.34735,Private room,90,1,32,2020-03-15,1.30,3,90
28213780,Maison familliale des années 40,123220797,O.M,,Uccle,50.80178,4.35747,Entire home/apt,135,1,67,2019-06-08,2.17,1,105
28227068,Place 2Be Like Home Proximité immédiate GrandPlace,203629584,Elodie,,Bruxelles,50.84747,4.34883,Entire home/apt,99,4,5,2020-03-05,0.19,1,87
28235811,57m2 studio duplex in Brussels,9047988,Hugo,,Saint-Gilles,50.82402,4.34116,Entire home/apt,56,1,222,2020-12-30,6.41,1,93
28237370,Splendid Art Nouveau Ground Floor with Garden.,4379081,Corado,,Bruxelles,50.84477,4.37735,Entire home/apt,89,4,8,2019-05-10,0.25,3,247
28265807,Appartement stylé dans maison bourgeoise,16898836,Karin,,Schaerbeek,50.8656,4.38616,Entire home/apt,120,3,0,,,1,355
28277560,chambre privée près de l'aéroport et de l'Otan,33810398,Stéphanie,,Bruxelles,50.89545,4.431,Private room,24,1,74,2019-12-30,2.14,2,148
28296377,Appartement lumineux et calme avec petit jardin.,24871510,Cosi,,Schaerbeek,50.85644,4.39975,Entire home/apt,45,3,57,2019-06-30,1.69,2,316
28305183,Room close to the center of Brussels,35612808,Helena,,Bruxelles,50.86069,4.35265,Private room,55,2,15,2019-12-07,0.45,1,363
28307390,STUDIO  FOR 1or2pers NEAR KOEKELBERG BASILICA,198008560,Faezeh,,Ganshoren,50.87018,4.31623,Entire home/apt,35,3,29,2018-10-31,0.86,1,52
28309696,Beautiful family house near the atomium,6276395,Emilie,,Bruxelles,50.88713,4.34005,Entire home/apt,150,3,16,2020-01-01,0.49,1,60
28312114,"Charming apartement, EU area, perfect for business",8793760,Giulio,,Bruxelles,50.85072,4.38514,Private room,50,6,0,,,1,84
28325989,Bright spacious apartment close to the centre,50075228,Diana,,Jette,50.86978,4.32522,Entire home/apt,60,2,10,2019-10-22,0.54,1,90
28332550,The cosy nest - 1 bedroom,19293722,Pauline Et Elliot,,Ixelles,50.81939,4.36102,Entire home/apt,55,7,49,2021-03-23,1.44,61,91
28349820,Elegance  in the center of Brussels! + parking !,871030,ApartmentsApart,,Bruxelles,50.84977,4.35206,Entire home/apt,106,1,10,2019-04-18,0.32,32,133
28361532,Cozy studio in the center of BXL,129358723,Maryam,,Ixelles,50.83565,4.36783,Entire home/apt,35,3,136,2021-01-25,4.06,3,22
28377600,Big bedroom with private bathroom,66330217,Alice,,Bruxelles,50.84951,4.36558,Private room,40,2,0,,,1,319
28399523,Le 37 - Blue room,22793323,Laurent,,Forest,50.81552,4.32614,Private room,37,3,17,2020-01-23,0.54,3,29
28410325,The double room nearby the heart of Brussels,86672973,Koen,,Molenbeek-Saint-Jean,50.84877,4.32603,Private room,18,90,0,,,8,13
28419237,LUXURY APPARTMENT,12534520,Souad,,Saint-Gilles,50.83207,4.3556,Entire home/apt,113,2,1,2021-07-09,1,2,329
28426241,Cosy Flat with Private Terrace at Galerie du Roi,17646753,Arzu/Timur,,Bruxelles,50.84833,4.35598,Entire home/apt,70,1,53,2020-03-06,1.59,3,361
28433510,One room in very nice apartment,12699436,Marguerite,,Ixelles,50.81807,4.36491,Private room,48,2,36,2019-09-27,1.08,1,269
28446142,Le 37 - Chambre avec bureau,22793323,Laurent,,Forest,50.8153,4.32648,Private room,27,2,19,2020-09-16,0.57,3,32
28447748,"Splendid Triplex, EU quarters, 93m2",36528474,Isabelle & Virgil,,Ixelles,50.83274,4.37175,Entire home/apt,75,3,6,2018-10-30,0.18,1,87
28470374,Sandoukou,214871104,Zawadi,,Schaerbeek,50.8522,4.3842,Private room,55,1,8,2018-09-19,0.24,1,181
28482988,Quiet neighbourhood close to center,213584274,Raed,,Schaerbeek,50.85828,4.40338,Private room,90,1,3,2019-03-01,0.09,1,89
28485878,Charming apartment for two 50m² in Brussels,36679684,Thomas,,Schaerbeek,50.85715,4.38206,Entire home/apt,74,1,66,2019-06-22,1.97,1,117
28491360,Meilleur logement Etterbeek,215048961,Esperance,,Etterbeek,50.83664,4.39467,Private room,45,1,2,2019-04-28,0.06,1,90
28509543,Chambre quartier résidentiel,182200577,Jean-M,,Uccle,50.79223,4.35803,Private room,30,2,36,2019-12-03,1.07,1,365
